Start Time: 11-05-2024 21:33:21 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 21:33:21 	Total time: 18.6081
Start Time: 11-05-2024 21:33:53 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 21:33:53 	Total time: 11.5035
Start Time: 11-05-2024 21:34:02 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 21:34:02 	Total time: 8.5529
Start Time: 11-05-2024 21:34:03 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 21:34:03 	Total time: 10.1407
Start Time: 11-05-2024 21:34:11 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 21:34:11 	Total time: 4.2639
Start Time: 11-05-2024 21:52:01 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 21:52:01 	Total time: 4.7398
Start Time: 11-05-2024 23:05:28 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:05:28 	Total time: 22.076
Start Time: 11-05-2024 23:05:48 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:05:48 	Total time: 8.4119
Start Time: 11-05-2024 23:05:58 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:05:58 	Total time: 3.6739
Start Time: 11-05-2024 23:06:10 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:06:10 	Total time: 6.8417
Start Time: 11-05-2024 23:06:13 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:06:13 	Total time: 5.8707
Start Time: 11-05-2024 23:06:27 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:06:27 	Total time: 3.8956
Start Time: 11-05-2024 23:06:33 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:06:33 	Total time: 3.1494
Start Time: 11-05-2024 23:06:49 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 11-05-2024 23:06:49 	Total time: 5.9297
Start Time: 11-05-2024 23:06:57 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:06:57 	Total time: 4.0251
Start Time: 11-05-2024 23:08:11 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:08:11 	Total time: 21.3563
Start Time: 11-05-2024 23:08:34 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:08:34 	Total time: 5.2098
Start Time: 11-05-2024 23:08:37 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:08:37 	Total time: 3.6493
Start Time: 11-05-2024 23:08:59 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:08:59 	Total time: 7.4552
Start Time: 11-05-2024 23:09:18 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:09:18 	Total time: 4.6809
Start Time: 11-05-2024 23:09:20 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:09:20 	Total time: 3.9471
Start Time: 11-05-2024 23:09:29 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:09:29 	Total time: 5.4231
Start Time: 11-05-2024 23:09:43 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 11-05-2024 23:09:43 	Total time: 5.4556
Start Time: 11-05-2024 23:09:53 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:09:53 	Total time: 3.3907
Start Time: 11-05-2024 23:09:58 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 11-05-2024 23:09:58 	Total time: 4.7401
Start Time: 11-05-2024 23:30:07 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:30:07 	Total time: 40.5297
Start Time: 11-05-2024 23:30:12 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:30:12 	Total time: 5.5253
Start Time: 11-05-2024 23:30:30 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 11-05-2024 23:30:30 	Total time: 6.2854
Start Time: 11-05-2024 23:30:35 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:30:35 	Total time: 3.765
Start Time: 11-05-2024 23:30:59 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 11-05-2024 23:30:59 	Total time: 5.0303
Start Time: 11-05-2024 23:31:15 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 11-05-2024 23:31:15 	Total time: 15.2248
Start Time: 11-05-2024 23:31:23 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:31:23 	Total time: 6.5362
Start Time: 11-05-2024 23:37:19 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 11-05-2024 23:37:19 	Total time: 35.7437
Start Time: 11-05-2024 23:37:24 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:37:24 	Total time: 9.3084
Start Time: 11-05-2024 23:37:39 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 11-05-2024 23:37:39 	Total time: 13.6134
Start Time: 11-05-2024 23:37:44 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:37:44 	Total time: 4.6031
Start Time: 11-05-2024 23:37:53 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 11-05-2024 23:37:53 	Total time: 22.516
Start Time: 11-05-2024 23:37:58 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:37:58 	Total time: 4.4531
Start Time: 11-05-2024 23:39:22 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 11-05-2024 23:39:22 	Total time: 11.0855
Start Time: 11-05-2024 23:39:29 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 11-05-2024 23:39:29 	Total time: 4.5678
Start Time: 12-05-2024 18:18:44 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 12-05-2024 18:18:44 	Total time: 29.9576
Start Time: 12-05-2024 18:19:09 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 12-05-2024 18:19:09 	Total time: 7.763
Start Time: 12-05-2024 18:19:14 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 12-05-2024 18:19:14 	Total time: 5.6304
Start Time: 12-05-2024 18:19:34 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 12-05-2024 18:19:34 	Total time: 8.5489
Start Time: 12-05-2024 18:19:36 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 12-05-2024 18:19:36 	Total time: 29.9682
Start Time: 12-05-2024 18:20:03 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 12-05-2024 18:20:03 	Total time: 10.6
Start Time: 12-05-2024 18:20:10 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 12-05-2024 18:20:10 	Total time: 5.1621
Start Time: 12-05-2024 18:20:25 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 12-05-2024 18:20:25 	Total time: 9.4902
Start Time: 12-05-2024 18:20:30 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 12-05-2024 18:20:30 	Total time: 4.8371
Start Time: 14-05-2024 08:48:26 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 14-05-2024 08:48:26 	Total time: 25.962
Start Time: 14-05-2024 08:48:51 	ControllerName: Bicycle 	ActionName: AddBicycle 	 End Time: 14-05-2024 08:48:51 	Total time: 7.0785
Start Time: 14-05-2024 08:48:58 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 14-05-2024 08:48:58 	Total time: 6.9893
Start Time: 14-05-2024 08:49:26 	ControllerName: Bicycle 	ActionName: EditBicycle 	 End Time: 14-05-2024 08:49:26 	Total time: 7.5372
Start Time: 14-05-2024 08:49:45 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 14-05-2024 08:49:45 	Total time: 11.6843
Start Time: 14-05-2024 08:49:58 	ControllerName: Bicycle 	ActionName: DeleteBicycle 	 End Time: 14-05-2024 08:49:58 	Total time: 6.9724
Start Time: 14-05-2024 08:50:04 	ControllerName: Bicycle 	ActionName: GetAllBicycles 	 End Time: 14-05-2024 08:50:04 	Total time: 4.8656
